,TEXT,label,Contains URL,Contains Monetary Characters,Classification
0,"go until jurong point, crazy.. available only in bugis n great world la e buffet... cine there got amore wat...
",0,0,0,not spam
1,"ok lar... joking wif u oni...
",0,0,0,not spam
2,"free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005. text fa to 87121 to receive entry question(std txt rate)t&c's apply 08452810075over18's
",1,1,1,spam
3,"u dun say so early hor... u c already then say...
",0,0,0,not spam
4,"nah i don't think he goes to usf, he lives around here though
",0,0,0,not spam
5,"freemsg hey there darling it's been 3 week's now and no word back! i'd like some fun you up for it still? tb ok! xxx std chgs to send, £1.50 to rcv
",1,0,1,spam
6,"even my brother is not like to speak with me. they treat me like aids patent.
",0,0,0,not spam
7,"as per your request 'melle melle (oru minnaminunginte nurungu vettam)' has been set as your callertune for all callers. press *9 to copy your friends callertune
",0,0,0,not spam
8,"winner!! as a valued network customer you have been selected to receivea £900 prize reward! to claim call 09061701461. claim code kl341. valid 12 hours only.
",1,0,1,spam
9,"had your mobile 11 months or more? u r entitled to update to the latest colour mobiles with camera for free! call the mobile update co free on 08002986030
",1,0,1,spam
10,"i'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? i've cried enough today.
",0,0,0,not spam
11,"six chances to win cash! from 100 to 20,000 pounds txt> csh11 and send to 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info
",1,1,1,spam
12,"urgent! you have won a 1 week free membership in our £100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18
",1,1,1,spam
13,"i've been searching for the right words to thank you for this breather. i promise i wont take your help for granted and will fulfil my promise. you have been wonderful and a blessing at all times.
",0,0,0,not spam
14,"i have a date on sunday with will!!
",0,0,0,not spam
15,"xxxmobilemovieclub: to use your credit, click the wap link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl
",1,1,1,spam
16,"oh k...i'm watching here:)
",0,0,0,not spam
17,"eh u remember how 2 spell his name... yes i did. he v naughty make until i v wet.
",0,0,0,not spam
18,"fine if thats the way u feel. thats the way its gota b
",0,0,0,not spam
19,"england v macedonia - dont miss the goals/team news. txt ur national team to 87077 eg england to 87077 try:wales, scotland 4txt/ú1.20 poboxox36504w45wq 16+
",1,1,1,spam
20,"is that seriously how you spell his name?
",0,0,0,not spam
21,"i‘m going to try for 2 months ha ha only joking
",0,0,0,not spam
22,"so ü pay first lar... then when is da stock comin...
",0,1,0,not spam
23,"aft i finish my lunch then i go str down lor. ard 3 smth lor. u finish ur lunch already?
",0,0,0,not spam
24,"ffffffffff. alright no way i can meet up with you sooner?
",0,0,0,not spam
25,"just forced myself to eat a slice. i'm really not hungry tho. this sucks. mark is getting worried. he knows i'm sick when i turn down pizza. lol
",0,0,0,not spam
26,"lol your always so convincing.
",0,0,0,not spam
27,"did you catch the bus ? are you frying an egg ? did you make a tea? are you eating your mom's left over dinner ? do you feel my love ?
",0,0,0,not spam
28,"i'm back &amp; we're packing the car now, i'll let you know if there's room
",0,0,0,not spam
29,"ahhh. work. i vaguely remember that! what does it feel like? lol
",0,0,0,not spam
30,"wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us
",0,0,0,not spam
31,"yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. till 2! but we won't go there! not doing too badly cheers. you? 
",0,0,0,not spam
32,"k tell me anything about you.
",0,0,0,not spam
33,"for fear of fainting with the of all that housework you just did? quick have a cuppa
",0,0,0,not spam
34,"thanks for your subscription to ringtone uk your mobile will be charged £5/month please confirm by replying yes or no. if you reply no you will not be charged
",1,1,0,spam
35,"yup... ok i go home look at the timings then i msg ü again... xuhui going to learn on 2nd may too but her lesson is at 8am
",0,0,0,not spam
36,"oops, i'll let you know when my roommate's done
",0,0,0,not spam
37,"i see the letter b on my car
",0,0,0,not spam
38,"anything lor... u decide...
",0,0,0,not spam
